,price,Modellår,Kilometer,farge,effekt,batterikapasitet,feature_model,url
148,129009,2014,74000,Hvit,115 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
149,134034,2014,100066,Pacific Blue Metallic,105 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
150,273034,2017,70400,Grå metallic,192 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
151,234034,2018,92146,Svart,150 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
152,229009,2019,42000,Sølv metallic,111 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
153,289900,2021,1952,Rød,150 Hk,40 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
154,129000,2013,150000,Grå,175 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
155,169034,2016,39681,Hvit,136 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
156,164034,2013,161000,Imperial blå,184 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
157,214034,2018,141400,Hvit Pearl,120 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
158,174034,2017,96500,Svart,116 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
159,259000,2018,43000,Oryx white,136 Hk,100 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
160,186729,2010,159000,Mørk Blå metalic,245 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
161,276670,2020,77000,Grå metallic,136 Hk,38 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
162,219000,2019,35100,Blå,100 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
163,129383,2015,252000,Hvit,140 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
164,139000,2015,70415,Grå,170 Hk,125 kWh,charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
165,279982,2014,97000,Sølv,155 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
166,212929,2011,193500,Svart,245 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
167,120000,2016,66900,Rød,99 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
168,127880,2017,78200,Blå,110 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
169,240000,2013,203000,Solid Black,422 Hk,85 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
170,133034,2015,93000,Grå metallic,111 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
